job_title,company,experience,jobNature,location,salary,apply_link
Odoo Python Developer,Sharp Brains,not found,Onsite,Lahore,Not specified,https://www.iitjobs.com/job/odoo-python-developer-lahore-punjab-pakistan-sharp-brains-25090?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
"Backend Dev (Python, Django)",Linked Matrix,not found,Onsite,Lahore,Not specified,https://pk.linkedin.com/jobs/view/backend-dev-python-django-at-linked-matrix-4213585392?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Sr. Mern Stack Developer,CODE Analytics,not found,Onsite,Lahore,Not specified,https://pk.linkedin.com/jobs/view/sr-mern-stack-developer-at-code-analytics-4213539013?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Python Developer (Onsite) 2-3 years,Compilex Technologies,not found,Onsite,Lahore,Not specified,https://pk.linkedin.com/jobs/view/python-developer-onsite-2-3-years-at-compilex-technologies-4215672040?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Full Stack Web Developer,The Garden of Eve,not found,Onsite,"Lahore, PPB, PK",Not specified,https://pk.indeed.com/viewjob?jk=ddffbd9084505179
Senior Solution Developer – Full Stack & Integration,AlphaBOLD,not found,Onsite,"Lahore, PPB, PK",Not specified,https://pk.indeed.com/viewjob?jk=13b2925513fa678f
Python Developer,Enxsys,not found,Onsite,"Lahore District, Punjab, Pakistan",Not specified,https://www.linkedin.com/jobs/view/4214233083
Senior Solution Developer – Full Stack & Integration,AlphaBOLD,not found,Onsite,"Lahore, PPB, PK",Not specified,https://pk.indeed.com/viewjob?jk=13b2925513fa678f
Python Developer,Enxsys,not found,Onsite,"Lahore District, Punjab, Pakistan",Not specified,https://www.linkedin.com/jobs/view/4214233083
"Backend Dev (Python, Django)",Linked Matrix,not found,Onsite,"Lahore, Punjab, Pakistan",Not specified,https://www.linkedin.com/jobs/view/4213585392
Full Stack Developer (Python+React+Node),Life at Rolustech,not found,Onsite,"Lahore, Punjab, Pakistan",Not specified,https://www.linkedin.com/jobs/view/4213943498
BackEnd Developer,Compilex Technologies,not found,Onsite,"Lahore, Punjab, Pakistan",Not specified,https://www.linkedin.com/jobs/view/4213517541
-| Junior Software Engineer (Python)-|,Softpers,not found,Onsite,"Lahore, Punjab, Pakistan",Not specified,https://www.linkedin.com/jobs/view/4215657866
Python Developer (Onsite) 2-3 years,Compilex Technologies,not found,Onsite,"Lahore, Punjab, Pakistan",Not specified,https://www.linkedin.com/jobs/view/4215672040
